  [2022-02-01 10:50:30,036], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:50:30,037], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30026 ms
  [2022-02-01 10:50:30,038], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:50:30,045], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30039 ms
  [2022-02-01 10:51:00,008], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
b1d9bee4db75f748 b1d9bee4db75f748 [2022-02-01 10:51:00,012], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:51:00,015], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:51:00,019], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:51:30,028], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:51:30,031], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30005ms.
  [2022-02-01 10:51:30,032], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:51:30,035], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:51:30,048], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:51:30,050], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30035 ms
  [2022-02-01 10:51:30,051], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentController.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:51:30,053], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentController.sendNotificationBeforeAppointmentStart :: 30045 ms
  [2022-02-01 10:52:00,009], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentController.sendNotificationBeforeAppointmentStart
f10b9d2cef0e08f7 f10b9d2cef0e08f7 [2022-02-01 10:52:00,012], , [scheduling-1], Booking-Appointment, INFO  AppointmentController sendNotificationBeforeAppointmentStart | Request received to send Notification Before Appointment Start
  [2022-02-01 10:52:00,014], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:52:00,016], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Start of AppointmentDtlsRepository.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:52:30,036], , [scheduling-1], Booking-Appointment, WARN  SqlExceptionHelper logExceptions | SQL Error: 0, SQLState: 08001
  [2022-02-01 10:52:30,037], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | HikariPool-1 - Connection is not available, request timed out after 30015ms.
  [2022-02-01 10:52:30,041], , [scheduling-1], Booking-Appointment, ERROR SqlExceptionHelper logExceptions | The connection attempt failed.
  [2022-02-01 10:52:30,045], , [scheduling-1], Booking-Appointment, ERROR AppointmentServiceImpl sendNotificationBeforeAppointmentStart | Exception while getting appointments to send notifiaction before started
  [2022-02-01 10:52:30,059], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | END of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart
  [2022-02-01 10:52:30,060], , [scheduling-1], Booking-Appointment, INFO  LoggingAspect profileAllMethods | Execution time of AppointmentServiceImpl.sendNotificationBeforeAppointmentStart :: 30046 ms
